client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901117.mp3	29c4a8e3c89d23ac5090bd6f261bca177782b47dbb7382f96e6436ba76f4943f	quả nhiên trúng tuyển vào trường Quốc Lập		2	0					vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901118.mp3	36bafc639499218043c210823a37f69a26b2466ddddbcabee21f410448873e2e	Khi con có mẹ		2	1					vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901119.mp3	3465b55d25c307976525e8fdf3c267728042cb52092fd7703d19c918dc06100b	nghe Mẹ Thảo nói bố thảo đi làm trưa mới về		2	0					vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901120.mp3	3825ffe57bb9de4d3d2b76488611e7af7e2a6ababecda98cde06026330fc94fd	Hà ni đánh bạo gọi khẽ		2	0					vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901121.mp3	12eae4e5371727982f9c38d6e02c4015e28a60db96aadea8c05b2a49dd88385e	Nước chảy trên sông		2	0					vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901282.mp3	27debf4ab705097ef508f3d1f5f112d04331532fcc54a37526d1a9816b70d8b7	Nào các bạn ơi		2	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901283.mp3	2eda5cb6c57ecf75d617b42850752f934ca7a15cdc633fb9a6de9f8aa81b113f	Mỗi lần như vậy là Thảo liền quay lại ngay		2	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901285.mp3	33c659ce2c831309db8231f03a72fcd4d2db6730d6e4fc89429d8be10267324a	rướn lên làm cho hai chiếc xe ngoắc lại với nhau		2	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901286.mp3	272a1d8ba08850c18d39ae3dd568da74bc634d76121ae264c4d306c790034169	Bánh kẹo nước ngọt		2	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901288.mp3	3d03d20f65516427386b1193af0049f4fbdf3190caa24503ed12db4030f578b8	Xong xuôi cũng đã quá trưa		2	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901300.mp3	20076e17a62d4696b52944b8644cd2845875b36b58a2c7ba042a7764bd7667d0	Con sợ lắm		2	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901301.mp3	19a6a5618430cdf999cbdd993089c932d323de2541cd7db21196b4f8b2d4264e	quay sang Trinh cô bạn liền hỏi		2	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901302.mp3	2e15f15d1821ee675e588374915c3448e6a030c2b361c8a36ed1e62c846f19e1	Lạnh buốt luôn		2	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901304.mp3	3e88520d2a1587f11ce59c84ece32a37e0cb1603823a197b24aec6946c104ac6	khi ấy mới là đáng sợ		2	0	sixties	male_masculine			vi	
