sentence_id	sentence	sentence_domain	source	is_used	clips_count
0008c4409717a1af8e0cfb70c280d93bace3d9632125231e7a93c8a8717af513	Tò mò nam liền hỏi thêm		I took sentences from a website of Vietnamese storytelling.	1	0
00104085895fb04a7dbc5f48ab57bd875b932bb764d2fc9f77200158c269103b	Nó vẫn chưa chết		I took sentences from a website of Vietnamese storytelling.	1	0
003906468f5f43d26e264888f906e5ecdfc33bbb5c12111c0930a56621aa6834	Giỏi nhất cái vùng này ư		I took sentences from a website of Vietnamese storytelling.	1	0
00484094feaee04b83eaecb4d7e776664417af558d318d47c169bc9ed49209b3	Dạo này tôi cũng bận nên là không sang nhà thăm được		I took sentences from a website of Vietnamese storytelling.	1	0
006de7b8354d963a7fddb666f93320cbd24473cabee19c41ec5fe3afcbc31971	Dường như con bé vừa trải qua một điều gì đó khủng khiếp lắm		I took sentences from a website of Vietnamese storytelling.	1	0
007e8500ac44c4fafb1930c80488b4791f16faf587d3f1a49d6ed8ecfc6bd26b	Hãy nên hòa giải sống ngay hết lòng		th? l?c bát	1	0
0080fa655e4f35e2ddf71da24901d40a902d42de67c1965b47c51c0154860fb3	Ông Phúc liền hỏi thầy Tàu		I took sentences from a website of Vietnamese storytelling.	1	0
009297bee3413d278e791f66877232304bc7744daa76cf2585765b2665f82a36	Nhưng mà đêm hôm qua không có đứa nào bị bắt cả		I took sentences from a website of Vietnamese storytelling.	1	0
01190f67d5d693b9b342e26b008ba140388732d2f3e9e990776ed43f446eccb1	Nghẹn ngào nước mắt, lòng này khắc ghi		th? l?c bát	1	0
0145c7a101e085b54f58bab30ed1768d5707e470a10bf47c0f13ec30bb4f092c	Vợ chồng tôi vẫn đang điều trị cho Ngọc		I took sentences from a website of Vietnamese storytelling.	1	0
0152267280e8b2d5025e639e100fcf0b351b14759046de790c6041548befcfe6	kha nhấc một ngụm nước khà lên mồm rồi nói		I took sentences from a website of Vietnamese storytelling.	1	0
0166d29cc7351260607fa73370adfe2d94ed5fc2b2eefae507fb9aa66990663c	Ngọc trợn mắt nhếch mép kiểu thách thức		I took sentences from a website of Vietnamese storytelling.	1	0
0181f838e12648692a12f2380942f8807f9378df81905d2624eb0f650b3f983c	Con quỷ đã giết rồi phải không thầy		I took sentences from a website of Vietnamese storytelling.	1	0
018c669cde8c22b3629c68a748ad754f24dd387098f3d804919d470b4413c7a2	Trách mình khờ khạo đi mời Sở Khanh!!!		th? l?c bát 	1	0
01bcee1ba3024230d962e7c027ddc68621acc9508bb75aafe5c27d0a30414415	Vậy thì đi theo cháu		I took sentences from a website of Vietnamese storytelling.	1	0
01c75adde7c34895cfd2fbe2301a044774e4fa3df2968fcef0a92cdc0db0eb61	Mấy chục năm qua có lẽ ngay bản thân thầy tàu		I took sentences from a website of Vietnamese storytelling.	1	0
01d60db5a484ef32b3d8432076aabe5fb7d3c9cecc66eb5251cec7da7ef5d18c	Bị đập một đập một cái khá mạnh từ đằng trước thẳng vào đầu		I took sentences from a website of Vietnamese storytelling.	1	0
01db1d8927530ca8dc194e045b1c86d532a3043a557c308895e8c8021d8e854e	Đa sầu đa mang.		ca dao t?c ng? 	1	0
01df9cebac4ccadf4f0373d2e36cfc99a7ecc91d5f9d4a83728cce15856bffa8	Rồi quay người đi thẳng		I took sentences from a website of Vietnamese storytelling.	1	0
01fb2008d503f9c28191afdf7f6c31a7bfd6e0496810abb9c39903cc78339516	Xua cơn nắng hạ quạt nồng mỗi đêm		th? l?c bát	1	0
0216fb162293cafc5dd7622181cfa10b6e335b345cac15b1309916f2feba193a	Dùng sức vận thật mạnh cái áo quan		I took sentences from a website of Vietnamese storytelling.	1	0
02247c2c3274f695f0990f7c3a7535655ed61a22fcdd03e27d5cda3a5a7c4c01	Nhà thầy a xìn đông khách lắm		I took sentences from a website of Vietnamese storytelling.	1	0
022a170748460b8d18f64607d3df42f2325789c87f898806b2ccdb471ab14474	Phải		I took sentences from a website of Vietnamese storytelling.	1	0
023f249e98b9ea488f23e46c2a075135a395d8a4a2bb0432dfc6db4674947610	Mọi người đều dõi mắt nhìn theo hướng ấy		I took sentences from a website of Vietnamese storytelling.	1	0
025962e12f1c77dd766d88066d4ae945a924a150ee20af26de8f32509735c804	Mẹ ơi em an		I took sentences from a website of Vietnamese storytelling.	1	0
027a809016ecd911fb734c811925127ae69f9472373ccc1638f9a3bdcea47452	Chủ nhà nghe thấy vậy thì chạy vào nói		I took sentences from a website of Vietnamese storytelling.	1	0
027d20e34ff08683f69c2a38be38b24ca409e3606dad4cc345e3f8ad593ad95a	Có đồ chơi gì cũng mang vào khoe với em		I took sentences from a website of Vietnamese storytelling.	1	0
027d2f5bc6bba0af0cc7606370fab04f5d9d5c6b52448bdd78729904007c8ece	Nhớ phải cho cô ấy ăn uống đầy đủ vào		I took sentences from a website of Vietnamese storytelling.	1	0
0293e5fe28f7a45db65c3ea6627f575d48eeafe58ce4be681dcd05fa5f582ca5	chắc con này cũng thuộc loại đó		I took sentences from a website of Vietnamese storytelling.	1	0
02b77a855f7a845c0d7db12ef3c85cf500cdbc8533ddaa0374a6edce04472338	Xuống đi...lão biết thế nào		th? 6 8	1	0
02bf3c92b85ad4e02f062549df9ab1e2766ca8e5bbe4ce2054d79fe2135981ad	hắn đã chịu nhục suốt mấy năm ròng		I took sentences from a website of Vietnamese storytelling.	1	0
02cbbef963de477028cbf94efa3fcf4003eb2301ddceb6c482a5b534521d9d90	Mà bé Ngọc		I took sentences from a website of Vietnamese storytelling.	1	0
030d83567f7155f0f7dd9e21efb7336479530ccb9417a0319dbd500b0e71d344	Khanh sao mày lỡ nhốt mẹ ở bên ngoài		I took sentences from a website of Vietnamese storytelling.	1	0
038eb93fd6d358e117e18b0371ddfe21d20384e80054f7f404700caf1ce30d17	Vừa đi nam vừa khẽ hỏi		I took sentences from a website of Vietnamese storytelling.	1	0
0397c0fe2b25efdbc1f3daa42ae538b08cce770158363ffb48046dc930028e06	đại học y thái nguyên		tôi t? ngh? 	1	0
039a30aa73f50071db7450a618dd0884f2abe32e8ee0dd025d0a73937b4f95f2	là vì bà ta muốn chờ		I took sentences from a website of Vietnamese storytelling.	1	0
3b06454629aaaedb583ad8fd861fb544766313a392dce500feddb1f322e8b31b	Ẩn trong thi tứ những điều thiêng liêng		sentence-collector	1	0
000648f59d84997819f60d7c0757d6e59d273fa87f19f151581ab39f289919dd	tôi hay đi làm muộn		tôi t? ngh? 	1	1
002a1e81bedc8b50d89297309bda5c5961e6408d0a9594304ecba86aabc98b9b	Hai tên này mò mẫm từng cái mộ		I took sentences from a website of Vietnamese storytelling.	1	1
003a2738031de23d8cb8812263e857d4a13c8d3dbecaa1c35fb936fc674fc29e	Nhất thì, nhì thục		ca dao t?c ng? 	1	1
003f2addaae0cf638e802dc943427b8aba4611d87879eb3bdf29d741412be6f9	Ông Khanh nhìn thấy lá bùa đặt ở trên bàn		I took sentences from a website of Vietnamese storytelling.	1	1
0053ab39e686073912c05a3b94bab91390bbcae5aef85d3b9c7fdc7be16880bc	Ông Khanh dậy muộn nhất		I took sentences from a website of Vietnamese storytelling.	1	1
0062c35606562c4deda33f49f7ad16c87a7a34b2e0886afb39b970bb65c47d3d	Hấp thụ khí âm mà sinh trưởng nuôi dưỡng cái xác		I took sentences from a website of Vietnamese storytelling.	1	1
006a87bb4d9c9a841cf08de0968cc2864813f1cda4f50c6755ab87d7779ef41f	Ráng mỡ gà có nhà thì chống.		ca dao t?c ng? 	1	1
00a09bebdfb843260fef1ef8126259c87d6285e0e565bd25fecdd315ef37d902	Trên đầu còn có một tấm bia		I took sentences from a website of Vietnamese storytelling.	1	1
00b1416dc06dd3e77d51ec3640f731de44947ecd457b9641732fa0b9ba02d0db	hút hết một điếu thuốc		I took sentences from a website of Vietnamese storytelling.	1	1
010bac13e0c63037def6cea53bcf435e2a24ecd117c830cf6e1e849d3aa563b8	Trả lại tôi đường tình chia đôi ngả		th?	1	1
013e0e12cf409552ec33a6cd3ad16d1fdb9b54dd3cde3987e7f8f348f593b239	Cháu chỉ muốn giữ cô ở lại đây chơi vài hôm		I took sentences from a website of Vietnamese storytelling.	1	1
013e2e49246f8cbb8edd827468ac3cab219bc9c5a1dd40a553b03e7b2f992f8c	Không thầy đố mày làm nên.		ca dao t?c ng? 	1	1
013fd6d953fc1eb7297102c5b1510ae1fe6241a4b755c2029d6a3b4602b3183d	Không giấu gì ông		I took sentences from a website of Vietnamese storytelling.	1	1
